"","jour","Volume","Issue","OAlab","n"
"1","ACTA ETHOLOGICA","16","3","Closed Access",6
"2","ACTA ETHOLOGICA","16","3","Other Gold",1
"3","ACTA ETHOLOGICA","17","1","Closed Access",8
"4","ACTA ETHOLOGICA","17","1","Other Gold",1
"5","ACTA ETHOLOGICA","17","2","Closed Access",7
"6","ACTA ETHOLOGICA","17","2","Other Gold",1
"7","ACTA ETHOLOGICA","18","2","Closed Access",15
"8","ACTA ETHOLOGICA","18","2","Other Gold",1
"9","ACTA ETHOLOGICA","19","1","Closed Access",11
"10","ACTA ETHOLOGICA","19","1","Other Gold",1
"11","ACTA ETHOLOGICA","19","3","Closed Access",3
"12","ACTA ETHOLOGICA","19","3","Other Gold",1
"13","ACTA ETHOLOGICA","20","1","Closed Access",9
"14","ACTA ETHOLOGICA","20","1","Other Gold",1
"15","ACTA ETHOLOGICA","20","2","Closed Access",8
"16","ACTA ETHOLOGICA","20","2","Other Gold",2
"17","ACTA ETHOLOGICA","21","1","Closed Access",6
"18","ACTA ETHOLOGICA","21","1","Other Gold",1
"19","ACTA ETHOLOGICA","21","3","Closed Access",6
"20","ACTA ETHOLOGICA","21","3","Other Gold",1
"21","ACTA ZOOLOGICA","96","1","Closed Access",11
"22","ACTA ZOOLOGICA","96","1","Other Gold",1
"23","ACTA ZOOLOGICA","96","2","Closed Access",15
"24","ACTA ZOOLOGICA","96","2","Other Gold",1
"25","ACTA ZOOLOGICA","96","4","Closed Access",12
"26","ACTA ZOOLOGICA","96","4","Other Gold",1
"27","ACTA ZOOLOGICA","97","1","Closed Access",10
"28","ACTA ZOOLOGICA","97","1","Other Gold",1
"29","ACTA ZOOLOGICA","98","2","Closed Access",11
"30","ACTA ZOOLOGICA","98","2","Other Gold",1
"31","AFRICAN ZOOLOGY","52","3","Closed Access",6
"32","AFRICAN ZOOLOGY","52","3","Other Gold",1
"33","AMERICAN JOURNAL OF PRIMATOLOGY","75","11","Closed Access",3
"34","AMERICAN JOURNAL OF PRIMATOLOGY","75","11","Other Gold",2
"35","AMERICAN JOURNAL OF PRIMATOLOGY","76","1","Closed Access",6
"36","AMERICAN JOURNAL OF PRIMATOLOGY","76","1","Other Gold",1
"37","AMERICAN JOURNAL OF PRIMATOLOGY","76","11","Closed Access",6
"38","AMERICAN JOURNAL OF PRIMATOLOGY","76","11","Other Gold",1
"39","AMERICAN JOURNAL OF PRIMATOLOGY","76","9","Closed Access",4
"40","AMERICAN JOURNAL OF PRIMATOLOGY","76","9","Other Gold",1
"41","AMERICAN JOURNAL OF PRIMATOLOGY","77","8","Closed Access",5
"42","AMERICAN JOURNAL OF PRIMATOLOGY","77","8","Other Gold",1
"43","AMERICAN JOURNAL OF PRIMATOLOGY","78","12","Closed Access",4
"44","AMERICAN JOURNAL OF PRIMATOLOGY","78","12","Other Gold",1
"45","AMERICAN JOURNAL OF PRIMATOLOGY","78","9","Closed Access",6
"46","AMERICAN JOURNAL OF PRIMATOLOGY","78","9","Other Gold",1
"47","AMERICAN JOURNAL OF PRIMATOLOGY","79","5","Closed Access",9
"48","AMERICAN JOURNAL OF PRIMATOLOGY","79","5","Other Gold",1
"49","AMERICAN JOURNAL OF PRIMATOLOGY","80","11","Closed Access",6
"50","AMERICAN JOURNAL OF PRIMATOLOGY","80","11","Other Gold",2
"51","AMERICAN JOURNAL OF PRIMATOLOGY","80","6","Closed Access",5
"52","AMERICAN JOURNAL OF PRIMATOLOGY","80","6","Other Gold",1
