Data Source,World Development Indicators,,Removed all years except indicated,,,,,,,
,,,,,,,,,,
Last Updated Date,6/30/21,,,,,,,,,
,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2013,2014,2015,2016,2017,2018,AVG_2013-2018
Aruba,ABW,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,
Africa Eastern and Southern,AFE,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,
Afghanistan,AFG,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,
Africa Western and Central,AFW,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,
Angola,AGO,GNI per capita (constant LCU),NY.GNP.PCAP.KN,54430.62979,56076.53403,55701.13344,52329.43817,49943.1206,46448.96921,52488.30421
Albania,ALB,GNI per capita (constant LCU),NY.GNP.PCAP.KN,457320.8526,462846.5192,475631.7789,494221.9285,506853.2221,526886.1958,487293.4162
Andorra,AND,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Arab World,ARB,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
United Arab Emirates,ARE,GNI per capita (constant LCU),NY.GNP.PCAP.KN,135985.4434,141633.72,148497.5226,151563.051,153344.6276,152274.069,147216.4056
Argentina,ARG,GNI per capita (constant LCU),NY.GNP.PCAP.KN,16640.38895,16079.30919,16371.41209,15834.47689,16044.02429,15276.17575,16040.96453
Armenia,ARM,GNI per capita (constant LCU),NY.GNP.PCAP.KN,1612168.472,1635920.6,1672245.574,1643265.669,1781411.755,1839412.081,1697404.025
American Samoa,ASM,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Antigua and Barbuda,ATG,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Australia,AUS,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Austria,AUT,GNI per capita (constant LCU),NY.GNP.PCAP.KN,40033.35421,39930.18561,39441.32846,40185.98736,40486.63038,41342.3979,40236.64732
Azerbaijan,AZE,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,,,,,,#DIV/0!
Burundi,BDI,GNI per capita (constant LCU),NY.GNP.PCAP.KN,180327.8555,181570.9827,169392.7793,163160.3667,158618.2433,156776.3721,168307.7666
Belgium,BEL,GNI per capita (constant LCU),NY.GNP.PCAP.KN,36903.93657,37190.50209,37483.71946,37599.32957,38044.56525,38568.66862,37631.78692
Benin,BEN,GNI per capita (constant LCU),NY.GNP.PCAP.KN,618273.0491,640136.6291,631442.8891,634335.5768,650640.2053,676100.9064,641821.5426
Burkina Faso,BFA,GNI per capita (constant LCU),NY.GNP.PCAP.KN,367778.4901,366269.6403,368658.2499,379458.743,394398.5823,406202.6117,380461.0529
Bangladesh,BGD,GNI per capita (constant LCU),NY.GNP.PCAP.KN,51488.11659,53313.57454,56073.75979,59017.23049,61817.68624,66138.73511,57974.85046
