field,journal,IF_5Y_2019,JCR_quart,jour_loc,publisher
Biochemistry ,BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,2.75,2,USA,Elsevier
CellBio,CELL,38.62,1,USA,CellPress
CellBio,CELL SYSTEMS,11.453,1,USA,CellPress
CellBio,CELL RESEARCH,20.396,1,ENGLAND,Nature
CellBio,MOLECULAR AND CELLULAR BIOLOGY,3.96,2,USA,American Society for Microbiology
Entomology,ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA,1.629,2,USA,Entomological society of America
Entomology,ENVIRONMENTAL ENTOMOLOGY,1.813,2,USA,Oxford Academics
Entomology,JOURNAL OF INSECT BEHAVIOR,1.13,3,USA,Springer
Entomology,ECOLOGICAL ENTOMOLOGY,2.002,2,USA,Wiley Online Library
Entomology,EXPERIMENTAL AND APPLIED ACAROLOGY,1.736,2,NETHERLANDS,Springer
Entomology,INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY,4.095,1,ENGLAND,Elsevier
Entomology,JOURNAL OF INSECT PHYSIOLOGY,2.62,2,ENGLAND,Elsevier
Entomology,JOURNAL OF INSECT CONSERVATION,1.654,2,NETHERLANDS,Springer
EvoBio,AMERICAN NATURALIST,4.072,1,USA,The University of Chicago Press
EvoBio,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,2.346,3,ENGLAND,Oxford Academics
EvoBio,BIOLOGY LETTERS,2.346,2,ENGLAND,The Royal Society Publishing
EvoBio,EVOLUTION,3.983,2,USA,Wiley Online Library
EvoBio,EVOLUTIONARY ECOLOGY,1.887,3,NETHERLANDS,Springer
EvoBio,HEREDITY,4.101,2,ENGLAND,Nature
EvoBio,JOURNAL OF EVOLUTIONARY BIOLOGY,2.691,2,USA,Wiley Online Library
EvoBio,JOURNAL OF HEREDITY,2.791,2,USA,Oxford Academics
EvoBio,JOURNAL OF MOLECULAR EVOLUTION,1.996,1,USA,Springer
EvoBio,MOLECULAR BIOLOGY AND EVOLUTION,13.401,1,ENGLAND,Oxford Academics
EvoBio,MOLECULAR ECOLOGY,5.965,1,USA,Wiley Online Library
EvoBio,MOLECULAR ECOLOGY RESOURCES,7.488,1,USA,Wiley Online Library
EvoBio,NATURE ECOLOGY & EVOLUTION,12.561,1,GERMANY,Nature
EvoBio,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,5.432,1,ENGLAND,Royal Society
EvoBio,THEORETICAL POPULATION BIOLOGY,1.648,3,USA,Elsevier
EvoBio,TRENDS IN ECOLOGY & EVOLUTION,18.601,1,ENGLAND,CellPress
Genetics_Heredity,CLINICAL GENETICS,3.45,2,USA,Wiley Online Library
Genetics_Heredity,DEVELOPMENTAL BIOLOGY,3.09,nope,USA,Elsevier
Genetics_Heredity,GENES & DEVELOPMENT,10.327,1,USA,Cold Spring Harbor Laboratory Press
Genetics_Heredity,GENOME RESEARCH,12.01,1,USA,Springer
Genetics_Heredity,HUMAN MOLECULAR GENETICS,5.362,1,ENGLAND,Oxford Academics
Genetics_Heredity,MOLECULAR THERAPY,7.885,1,USA,CellPress
MarineB_E,CORAL REEFS,3.553,1,USA,Springer
MarineB_E,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,2.126,2,NETHERLANDS,Elsevier
MarineB_E,JOURNAL OF FISH BIOLOGY,1.943,2,USA,Wiley Online Library
MarineB_E,MARINE BIOLOGY,2.256,2,GERMANY,Springer
MarineB_E,MARINE GENOMICS,1.883,"reclass (Gen_Heredity, Q4)",NETHERLANDS,Elsevier
MarineB_E,JOURNAL OF APPLIED PHYCOLOGY,3.217,2,NETHERLANDS,Springer
MarineB_E,AQUACULTURE,3.592,1,NETHERLANDS,Elsevier
Microbio_Immun,ANTIMICROBIAL AGENTS AND CHEMOTHERAPY,4.746,1,USA,American Society for Microbiology
Microbio_Immun,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,4.597,2,USA,American Society for Microbiology
Microbio_Immun,CELL HOST & MICROBE,17.766,1,USA,CellPress
Microbio_Immun,CLINICAL INFECTIOUS DISEASES,8.845,1,USA,Oxford Academics
Microbio_Immun,JOURNAL OF CLINICAL MICROBIOLOGY,4.663,1,USA,American Society for Microbiology
Microbio_Immun,JOURNAL OF INFECTIOUS DISEASES,5.057,1,USA,Oxford Academics
Microbio_Immun,MOLECULAR MICROBIOLOGY,3.576,2,USA,Wiley Online Library
Microbio_Immun,MICROBES AND INFECTION,2.397,3,NETHERLANDS,Elsevier
Neuroscience,CEREBRAL CORTEX,5.924,1,USA,Oxford Academics
Neuroscience,JOURNAL OF PSYCHOPHARMACOLOGY,3.816,2,ENGLAND,SAGE publishers
Neuroscience,LEARNING & MEMORY,3.05,3,USA,Cold Spring Harbor Laboratory Press
Neuroscience,BRAIN,11.931,2,ENGLAND,Oxford Academics
Neuroscience,PSYCHOPHARMACOLOGY,3.179,1,USA,Springer
Oncology,ANNALS OF ONCOLOGY,15.254,1,NETHERLANDS,Elsevier
Oncology,BRITISH JOURNAL OF CANCER,6.21,1,ENGLAND,Nature
Oncology,INTERNATIONAL JOURNAL OF CANCER,6.485,1,USA,Wiley Online Library
Oncology,ONCOGENE,7.066,1,ENGLAND,Nature
Oncology,ONCOLOGY REPORTS,3.279,2,GREECE,Spandidos publishers
PlantSci,JOURNAL OF EXPERIMENTAL BOTANY,7.011,1,ENGLAND,Oxford Academics
PlantSci,MOLECULAR PLANT,12.744,1,USA,CellPress
PlantSci,PLANT BIOLOGY,2.371,2,USA,Wiley Online Library
PlantSci,PLANT CELL,10.144,1,USA,American Society of Plant Biology
PlantSci,PLANT JOURNAL,6.629,1,USA,wiley Blackwell
PlantSci,PLANT MOLECULAR BIOLOGY,4.065,2,NETHERLANDS,Springer
PlantSci,PLANT PHYSIOLOGY,7.52,1,USA,Oxford Academics
Zoology,AMERICAN JOURNAL OF PRIMATOLOGY,2.165,1,USA,Wiley Online Library
Zoology,ACTA ETHOLOGICA,1.294,4,GERMANY,Springer
Zoology,ACTA THERIOLOGICA,1.262,3,CHINA,Springer
Zoology,ACTA ZOOLOGICA,1.329,3,USA,Wiley Online Library
Zoology,AFRICAN ZOOLOGY,0.906,3,SOUTH AFRICA,Taylor and Francis Online
Zoology,AMPHIBIA-REPTILIA,1.34,2,NETHERLANDS,Brill
Zoology,ANIMAL BEHAVIOUR,2.971,1,ENGLAND,Elsevier
Zoology,ANIMAL BIOLOGY,1.058,2,NETHERLANDS,Brill
Zoology,ANIMAL CELLS AND SYSTEMS,0.638,4,ENGLAND,Taylor and Francis Online
Zoology,ANIMAL COGNITION,2.651,1,GERMANY,Springer
Zoology,AUSTRALIAN JOURNAL OF ZOOLOGY,0.86,4,AUSTRALIA,CSIRO publishing
Zoology,AVIAN BIOLOGY RESEARCH,0.884,nope,ENGLAND,SAGE publishers
Zoology,BEHAVIORAL ECOLOGY,3.222,1,USA,Oxford Academics
Zoology,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,2.287,2,USA,Springer
Zoology,BEHAVIOUR,1.449,4,NETHERLANDS,Brill
Zoology,BEHAVIOURAL PROCESSES,1.785,3,NETHERLANDS,Elsevier
Zoology,BIOACOUSTICS-THE INTERNATIONAL JOURNAL OF ANIMAL SOUND AND ITS RECORDING,1.833,1,ENGLAND,Taylor and Francis Online
Zoology,BRAIN BEHAVIOR AND EVOLUTION,2.103,3,SWITZERLAND,Springer
Zoology,CANADIAN JOURNAL OF ZOOLOGY,1.645,2,CANADA, Canadian Science Publishing
Zoology,CLADISTICS,5.444,"reclass (EvoBio, Q1)",USA,Wiley Online Library
Zoology,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY,2.211,3,USA,Elsevier
Zoology,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B-BIOCHEMISTRY & MOLECULAR BIOLOGY,2.046,2,USA,Elsevier
Zoology,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY,2.86,2,USA,Elsevier
Zoology,CONTRIBUTIONS TO ZOOLOGY,2.079,2,NETHERLANDS,Brill
Zoology,DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY,3.318,1,ENGLAND,Elsevier
Zoology,ETHOLOGY,1.524,3,USA,Wiley Online Library
Zoology,ETHOLOGY ECOLOGY & EVOLUTION,1.384,3,ENGLAND,Taylor and Francis Online
Zoology,EUROPEAN JOURNAL OF WILDLIFE RESEARCH,1.539,3,USA,Springer
Zoology,FOLIA PRIMATOLOGICA,1.178,3,SWITZERLAND,Karger Publishers
Zoology,GAYANA,0.393,4,CHILE,"Facultad de Ciencias Naturales y Oceanograficas, Universidad de Concepcion"
Zoology,GENERAL AND COMPARATIVE ENDOCRINOLOGY,2.436,nope,USA,Elsevier
Zoology,ICHTHYOLOGICAL RESEARCH,0.963,4,JAPAN,Springer
Zoology,INTEGRATIVE AND COMPARATIVE BIOLOGY,3.067,1,USA,Oxford Academics
Zoology,INTEGRATIVE ZOOLOGY,2.362,1,USA,Wiley Online Library
Zoology,INTERNATIONAL JOURNAL OF PRIMATOLOGY,1.723,1,USA,Springer
Zoology,INVERTEBRATE BIOLOGY,1.314,2,USA,Wiley Online Library
Zoology,ITALIAN JOURNAL OF ZOOLOGY,1.151,2,ENGLAND,Taylor and Francis Online
Zoology,JOURNAL OF ANIMAL ECOLOGY,4.907,1,USA,Springer
Zoology,JOURNAL OF COMPARATIVE NEUROLOGY,3.153,2,USA,Wiley Online Library
Zoology,JOURNAL OF COMPARATIVE PHYSIOLOGY A-NEUROETHOLOGY SENSORY NEURAL AND BEHAVIORAL PHYSIOLOGY,1.944,3,GERMANY,Springer
Zoology,JOURNAL OF COMPARATIVE PHYSIOLOGY B-BIOCHEMICAL SYSTEMS AND ENVIRONMENTAL PHYSIOLOGY,2.072,2,GERMANY,Springer
Zoology,JOURNAL OF CRUSTACEAN BIOLOGY,1.166,3,ENGLAND,Oxford Academics
Zoology,JOURNAL OF ETHOLOGY,1.278,3,JAPAN,Springer
Zoology,JOURNAL OF EXPERIMENTAL ZOOLOGY PART A-ECOLOGICAL AND INTEGRATIVE PHYSIOLOGY,1.56,1,USA,Springer
Zoology,JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION,2.026,3,USA,Wiley Online Library
Zoology,JOURNAL OF HELMINTHOLOGY,1.442,2,ENGLAND,Cambridge University Press
Zoology,JOURNAL OF INVERTEBRATE PATHOLOGY,2.62,1,USA,Elsevier
Zoology,JOURNAL OF MAMMALIAN EVOLUTION,2.462,1,USA,Springer
Zoology,JOURNAL OF MAMMALOGY,2.27,1,USA,Oxford Academics
Zoology,JOURNAL OF MOLLUSCAN STUDIES,1.461,2,ENGLAND,Oxford Academics
Zoology,JOURNAL OF NATURAL HISTORY,1.554,3,ENGLAND,Taylor and Francis Online
Zoology,JOURNAL OF THERMAL BIOLOGY,2.411,2,ENGLAND,Elsevier
Zoology,JOURNAL OF WILDLIFE MANAGEMENT,2.231,2,USA,Wiley Online Library
Zoology,JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,2.321,2,USA,Wiley Online Library
Zoology,JOURNAL OF ZOOLOGY,1.922,2,USA,Wiley Online Library
Zoology,LABORATORY ANIMALS,2.192,2,USA,SAGE publishers
Zoology,LEARNING & BEHAVIOR,1.379,3,USA,Springer
Zoology,MAMMAL RESEARCH,1.531,2,GERMANY,Springer
Zoology,MAMMAL REVIEW,4.339,1,USA,Wiley Online Library
Zoology,MAMMALIAN BIOLOGY,1.735,2,GERMANY,Springer
Zoology,MARINE MAMMAL SCIENCE,1.915,2,USA,Wiley Online Library
Zoology,NEMATOLOGY,1.194,3,NETHERLANDS,Brill
Zoology,ORGANISMS DIVERSITY & EVOLUTION,2.242,2,GERMANY,Springer
Zoology,PAKISTAN JOURNAL OF ZOOLOGY,0.713,3,PAKISTAN,Zoological society of pakistan
Zoology,PHYSIOLOGICAL AND BIOCHEMICAL ZOOLOGY,2.282,2,USA,university of chicago press
Zoology,PRIMATES,1.455,2,JAPAN,Springer
Zoology,REPRODUCTION FERTILITY AND DEVELOPMENT,1.924,3,AUSTRALIA,CSIRO publishing
Zoology,STUDIES ON NEOTROPICAL FAUNA AND ENVIRONMENT,0.83,3,ENGLAND,Taylor and Francis Online
Zoology,WILDLIFE MONOGRAPHS,5.3,2,USA,Wiley Online Library
Zoology,WILDLIFE RESEARCH,1.833,2,AUSTRALIA,CSIRO publishing
Zoology,ZEBRAFISH,2.19,2,USA,"Mary Ann Liebert, Inc., publishers"
Zoology,ZOO BIOLOGY,1.245,3,USA,Wiley Online Library
Zoology,ZOOLOGICA SCRIPTA,2.77,2,USA,Wiley Online Library
Zoology,ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,2.92,1,ENGLAND,Oxford Academics
Zoology,ZOOLOGICAL STUDIES,1.219,2,TAIWAN,Springer
Zoology,ZOOLOGISCHER ANZEIGER,1.564,2,GERMANY,Elsevier
Zoology,ZOOLOGY,1.83,2,GERMANY,Elsevier
Zoology,ZOOMORPHOLOGY,1.471,3,USA,Springer
Mycology,FUNGAL BIOLOGY,2.85,2,ENGLAND,Elsevier
Mycology,FUNGAL DIVERSITY,12.096,1,USA,Springer
Mycology,FUNGAL ECOLOGY,3.953,2,ENGLAND,Elsevier
Mycology,FUNGAL GENETICS AND BIOLOGY,3.583,2,USA,Elsevier
Mycology,MEDICAL MYCOLOGY,2.993,2,ENGLAND,Oxford Academics
Mycology,MYCORRHIZA,3.215,2,USA,Springer
Mycology,MYCOSES,3.118,1,USA,Wiley Online Library
Mycology,MYCOLOGICAL PROGRESS,2.061,3,GERMANY,Springer
Mycology,MYCOPATHOLOGIA,1.958,3,NETHERLANDS,Springer
Mycology,MYCOTAXON,0.691,4,USA,Mycotaxon
