Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact
BIOCHEMISTRY & MOLECULAR BIOLOGY,452728,4063610,1,71.75942287642911,0.9999098993214397
ONCOLOGY,556162,3427876,2,51.7032806987892,0.9999650306925004
CELL BIOLOGY,266871,2842919,3,68.46491375983152,0.9998371501586907
NEUROSCIENCES,363080,2480420,4,60.52495317836289,0.9999803927509061
IMMUNOLOGY,235241,1719863,5,60.04395492282383,0.9994611632326001
MICROBIOLOGY,162168,1470132,6,78.72884909476592,0.9999072511222891
GENETICS & HEREDITY,166557,1249847,7,66.09989373007438,0.9997427018978505
PLANT SCIENCES,177384,1147703,8,71.61412528751184,0.9993961946962497
BIOLOGY,126262,620564,9,52.47026025249085,0.9998971844260349
MARINE & FRESHWATER BIOLOGY,73544,422470,10,75.83487436092679,0.9929592407266391
EVOLUTIONARY BIOLOGY,45354,366143,11,70.69938704414163,0.9993166754861768
ZOOLOGY,87921,285694,12,61.3960259778665,0.9986361176510723
ENTOMOLOGY,43345,187484,13,70.58022840004614,0.9993047248817598
MYCOLOGY,13385,76793,14,68.04632050803137,0.9823687037728799

Filter Summary:
Dataset: InCites Dataset + ESCI
Schema:  Web of Science
"Time Period:  [2016, 2020]"
Funding Data Source:  All Sources
"Research Area:  [MARINE & FRESHWATER BIOLOGY, NEUROSCIENCES, MICROBIOLOGY, GENETICS & HEREDITY, ONCOLOGY, ZOOLOGY, IMMUNOLOGY, CELL BIOLOGY, BIOLOGY, BIOCHEMISTRY & MOLECULAR BIOLOGY, EVOLUTIONARY BIOLOGY, MYCOLOGY, ENTOMOLOGY, PLANT SCIENCES]"

"Exported date  May 18, 2021. "
"InCites dataset updated  2021-04-30. Includes Web of Science content indexed through 2021-03-31. "
