Journal,USD,USD cleaned
Journal of AOAC INTERNATIONAL,1605,1605
Systematic Biology,1926,1926
ISLE: Interdisciplinary Studies in Literature and Environment,2000,2000
MELUS,2000,2000
Journal of Social History,2106,2106
Metallomics,2176,2176
Toxicology Research,2200,2200
Environmental History,2205,2205
Journal of Breast Imaging,2408,2408
Journal of Mammalogy,2567,2567
Mammalian Species,2567,2567
Modern Judaism - A Journal of Jewish Ideas and Experience,2568,2568
International Journal of Pharmacy Practice,2720,2720
Journal of Pharmaceutical Health Services Research,2720,2720
French Studies Bulletin,2761,2761
Journal of Tropical Pediatrics,2791,2791
Biostatistics,2831,2831
Notes and Queries,2831,2831
Literary Imagination,2865,2865
Analysis,2992,2992
"Bioscience, Biotechnology and Biochemistry",2995,2995
International Journal of Public Opinion Research,2996,2996
Endocrine Reviews,3000,3000
Endocrinology,3000,3000
Journal of Heredity,3000,3000
Journal of the American Academy of Religion,3000,3000
The Journal of Aesthetics and Art Criticism,3000,3000
The Journal of Clinical Endocrinology & Metabolism,3000,3000
Journal of Professions and Organization,3008,3008
Integrative Biology,3025,3025
Journal of Plant Ecology,3040,3040
Publications of the Astronomical Society of Japan,3080,3080
Health Policy and Planning,3149,3149
ILAR Journal,3150,3150
Plant and Cell Physiology,3150,3150
Research Evaluation,3159,3159
European Journal of Public Health,3173,3173
Journal of Burn Care & Research,3177,3177
Classical Receptions Journal,3178,3178
The Auk,3194,3194
The Condor,3194,3194
Plant Physiology,3200,3200
Bulletin of the Institute of Classical Studies,3210,3210
Diplomatic History,3210,3210
Historical Research,3210,3210
Journal of Music Therapy,3210,3210
Music Therapy Perspectives,3210,3210
Monthly Notices of the Royal Astronomical Society,3247,3247
Monthly Notices of the Royal Astronomical Society: Letters,3247,3247
Molecular Biology and Evolution,3255,3255
The Journal of Hindu Studies,3296,3296
The World Bank Economic Review,3296,3296
The World Bank Research Observer,3296,3296
European Heart Journal - Acute Cardiovascular Care,3300,3300
European Heart Journal - Acute Cardiovascular Care,3300,3300
European Journal of Cardiovascular Nursing,3300,3300
European Journal of Cardiovascular Nursing,3300,3300
European Journal of Preventive Cardiology,3300,3300
European Journal of Preventive Cardiology,3300,3300
Social Science Japan Journal,3300,3300
"Cambridge Journal of Regions, Economy and Society",3310,3310
Adaptation,3312,3312
Inflammatory Bowel Diseases,3317,3317
Journal of Public Administration Research and Theory,3331,3331
Perspectives on Public Management and Governance,3331,3331
Christian bioethics: Non-Ecumenical Studies in Medical Morality,3348,3348
The Journal of Medicine and Philosophy: A Forum for Bioethics and Philosophy of Medicine,3349,3349
Acta Biochimica et Biophysica Sinica,3350,3350
International Relations of the Asia-Pacific,3366,3366
Public Health Ethics,3371,3371
CESifo Economic Studies,3390,3390
The American Journal of Comparative Law,3394,3394
Journal of Pharmacy and Pharmacology,3400,3400
Journal of Public Health,3424,3424
Pathogens and Disease,3435,3435
Behavioral Ecology,3439,3439
The Journal of Biochemistry,3450,3450
American Law and Economics Review,3460,3460
Biological Journal of the Linnean Society,3460,3460
Botanical Journal of the Linnean Society,3460,3460
Journal of Consumer Research,3460,3460
Public Opinion Quarterly,3460,3460
"The Journal of Law, Economics, and Organization",3460,3460
The Review of Asset Pricing Studies,3460,3460
The Review of Corporate Finance Studies,3460,3460
The Review of Financial Studies,3460,3460
Zoological Journal of the Linnean Society,3460,3460
The Monist,3467,3467
Bioinformatics,3478,3478
Journal of Church and State,3496,3496
Social Problems,3499,3499
Microscopy,3500,3500
Journal of Survey Statistics and Methodology,3512,3512
Publius: The Journal of Federalism,3512,3512
Chinese Journal of International Law,3520,3520
The Chinese Journal of Comparative Law,3520,3520
The Chinese Journal of International Politics,3520,3520
Journal of Language Evolution,3547,3547
Social Forces,3566,3566
Epidemiologic Reviews,3570,3570
Journal of Victorian Culture,3589,3589
International Immunology,3590,3590
Digital Scholarship in the Humanities,3595,3595
Journal of Experimental Botany,3600,3600
"Work, Aging and Retirement",3605,3605
Biometrika,3634,3634
Contemporary Women's Writing,3634,3634
English: Journal of the English Association,3634,3634
European Journal of Cardio-Thoracic Surgery,3634,3634
Forum for Modern Language Studies,3634,3634
IMA Journal of Applied Mathematics,3634,3634
IMA Journal of Management Mathematics,3634,3634
IMA Journal of Mathematical Control and Information,3634,3634
IMA Journal of Numerical Analysis,3634,3634
Information and Inference: A Journal of the IMA,3634,3634
Journal of Crustacean Biology,3634,3634
Journal of Semitic Studies,3634,3634
Literature and Theology,3634,3634
Mathematical Medicine and Biology: A Journal of the IMA,3634,3634
Socio-Economic Review,3634,3634
Teaching Mathematics and its Applications: An International Journal of the IMA,3634,3634
The British Journal of Aesthetics,3634,3634
The Cambridge Quarterly,3634,3634
The Leo Baeck Institute Year Book,3634,3634
The Quarterly Journal of Mechanics and Applied Mathematics,3634,3634
Communication Theory,3638,3638
"Communication, Culture & Critique",3638,3638
Geophysical Journal International,3638,3638
Human Communication Research,3638,3638
Journal of Communication,3638,3638
Diseases of the Esophagus,3639,3639
Review of Environmental Economics and Policy,3639,3639
Physical Therapy,3640,3640
Translational Behavioral Medicine,3653,3653
Mind,3658,3658
GRUR International,3673,3673
Foreign Policy Analysis,3675,3675
International Political Sociology,3675,3675
International Studies Perspectives,3675,3675
International Studies Quarterly,3675,3675
