jour,citations,OAdes,OAlab,year,auth_count,Volume,Issue,apc_cat,AIS,JCR_quart,field
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,23,Green Accepted,Green,2013,4,430,1,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,20,Green Accepted,Green,2013,2,430,1,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,7,Green Accepted,Green,2013,5,430,1,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,10,Green Published,Green,2013,4,430,1,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,6,Green Published,Green,2013,5,430,1,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,19,Green Accepted,Green,2013,5,430,1,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,13,Green Accepted,Green,2013,4,430,1,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,6,"Green Accepted, Green Published",Green,2013,8,430,1,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,5,Green Accepted,Green,2013,6,430,1,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,7,Green Accepted,Green,2013,2,430,1,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,13,Green Accepted,Green,2013,7,430,1,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,52,Green Accepted,Green,2013,5,430,1,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,8,Green Accepted,Green,2013,6,430,1,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,75,Green Accepted,Green,2013,4,430,1,noAPC,0.599,2,Biochemistry 
BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,10,"Green Published, Green Accepted",Green,2013,6,430,4,noAPC,0.599,2,Biochemistry 
