"(Intercept)" "auth_count" "citations" "field" "IF_5Y_2019" "JIFquant" "journal" "OAlab" "publisher" "year" "df" "logLik" "AICc" "delta" "weight"
"360" 3490.56077531208 0.123165012784716 0.00253431095347506 "+" NA NA "+" "+" NA -1.72606937882223 169 -518145.312898023 1036629.00353657 0 0.0625000000127329
"376" 3484.60042581089 0.123165012784796 0.00253431095347476 "+" NA "+" "+" "+" NA -1.72606937882229 169 -518145.312898023 1036629.00353657 0 0.0625000000127329
"488" 3490.56077531208 0.123165012784716 0.00253431095347506 "+" NA NA "+" "+" "+" -1.72606937882223 169 -518145.312898023 1036629.00353657 0 0.0625000000127329
"504" 3484.60042581089 0.123165012784796 0.00253431095347476 "+" NA "+" "+" "+" "+" -1.72606937882229 169 -518145.312898023 1036629.00353657 0 0.0625000000127329
"372" 3485.4756683368 0.12316501278478 0.0025343109534748 NA NA "+" "+" "+" NA -1.72606937882228 169 -518145.312898023 1036629.00353657 2.3283064365387e-10 0.062500000005457
"500" 3485.4756683368 0.12316501278478 0.0025343109534748 NA NA "+" "+" "+" "+" -1.72606937882228 169 -518145.312898023 1036629.00353657 2.3283064365387e-10 0.062500000005457
"356" 3485.47566833679 0.123165012784641 0.00253431095347509 NA NA NA "+" "+" NA -1.72606937882228 169 -518145.312898023 1036629.00353657 4.65661287307739e-10 0.062499999998181
"364" 3482.06994391626 0.123165012785009 0.00253431095347745 NA 2.63193541010951 NA "+" "+" NA -1.72606937882229 169 -518145.312898023 1036629.00353657 4.65661287307739e-10 0.062499999998181
"484" 3485.47566833679 0.123165012784641 0.00253431095347509 NA NA NA "+" "+" "+" -1.72606937882228 169 -518145.312898023 1036629.00353657 4.65661287307739e-10 0.062499999998181
"492" 3482.06994391626 0.123165012785009 0.00253431095347745 NA 2.63193541010951 NA "+" "+" "+" -1.72606937882229 169 -518145.312898023 1036629.00353657 4.65661287307739e-10 0.062499999998181
"368" 3483.32295294029 0.123165012785131 0.00253431095347776 "+" 2.6319354079786 NA "+" "+" NA -1.72606937882231 169 -518145.312898023 1036629.00353657 6.98491930961609e-10 0.0624999999909051
"380" 3482.06994391706 0.123165012784932 0.00253431095347752 NA 2.6319354096125 "+" "+" "+" NA -1.72606937882234 169 -518145.312898023 1036629.00353657 6.98491930961609e-10 0.0624999999909051
"384" 3481.64213041165 0.123165012785085 0.00253431095347776 "+" 2.63193540887 "+" "+" "+" NA -1.72606937882233 169 -518145.312898023 1036629.00353657 6.98491930961609e-10 0.0624999999909051
"496" 3483.32295294029 0.123165012785131 0.00253431095347776 "+" 2.6319354079786 NA "+" "+" "+" -1.72606937882231 169 -518145.312898023 1036629.00353657 6.98491930961609e-10 0.0624999999909051
"508" 3482.06994391706 0.123165012784932 0.00253431095347752 NA 2.6319354096125 "+" "+" "+" "+" -1.72606937882234 169 -518145.312898023 1036629.00353657 6.98491930961609e-10 0.0624999999909051
"512" 3481.64213041165 0.123165012785085 0.00253431095347776 "+" 2.63193540887 "+" "+" "+" "+" -1.72606937882233 169 -518145.312898023 1036629.00353657 6.98491930961609e-10 0.0624999999909051
"296" 3425.20943612342 0.125890896565673 0.00254042446152768 "+" NA NA "+" NA NA -1.69408570159373 165 -518443.531558141 1037217.42322909 588.419692516676 1.05236710846107e-129
"312" 3418.77525810802 0.125890896565751 0.00254042446152739 "+" NA "+" "+" NA NA -1.69408570159373 165 -518443.531558141 1037217.42322909 588.419692516676 1.05236710846107e-129
"424" 3425.20943612342 0.125890896565673 0.00254042446152768 "+" NA NA "+" NA "+" -1.69408570159373 165 -518443.531558141 1037217.42322909 588.419692516676 1.05236710846107e-129
"440" 3418.77525810802 0.125890896565751 0.00254042446152739 "+" NA "+" "+" NA "+" -1.69408570159373 165 -518443.531558141 1037217.42322909 588.419692516676 1.05236710846107e-129
